Jahr;Ankunft;doy;Brutbeginn;doy;Jungvoegel;Verlust;Abflug;doy
1995;25.04.1995;115;30.04.1995;120;3;0;28.08.1995;240
1996;09.04.1996;100;15.04.1996;106;2;0;26.08.1996;239
1997;24.04.1997;114;NAN;;0;0;29.08.1997;241
1998;30.04.1998;120;NAN;;0;0;30.08.1998;242
1999;18.04.1999;108;NAN;;0;0;27.08.1999;239
2000;19.04.2000;110;25.04.2000;116;0;0;28.08.2000;241
2001;05.04.2001;95;26.04.2001;116;4;0;17.08.2001;229
2002;09.04.2002;99;18.04.2002;108;3;1;19.08.2002;231
2003;14.04.2003;104;19.04.2003;109;3;0;14.08.2003;226
2004;02.04.2004;93;19.04.2004;110;3;0;09.08.2004;222
2005;07.04.2005;97;15.04.2005;105;3;0;15.08.2005;227
2006;05.04.2006;95;17.04.2006;107;3;0;25.08.2006;237
2007;10.04.2007;100;16.04.2007;106;4;3;18.08.2007;230
2008;20.03.2008;80;28.03.2008;88;3;0;24.08.2008;237
2009;03.04.2009;93;13.04.2009;103;2;1;15.08.2009;227
2010;08.04.2010;98;10.04.2010;100;2;1;17.08.2010;229
2011;31.03.2011;90;05.04.2011;95;4;0;28.08.2011;240
2012;22.03.2012;82;29.04.2012;120;2;0;25.08.2012;238
2013;04.04.2013;94;NAN;;0;0;;
